396,13,0
6,1,10292
8152,2,10445
16113,2,11449
10674,128,11464
1979,4,11481
26581,155,11530
45,1,12918
5394,8,12981
6,4,12992
27437,32,13398
8,12,13582
16,1,13660
32318,256,13720
7,1,13748
8,16,13795
81,1,13803
21,8,13922
27,8,15939
11103,32,16129
7298,14,16440
14571,2,16697
50,2,16709
119,1,16730
10210,61,16827
13069,128,16922
13,1,16931
108,8,26096
12590,4,26111
19571,32,26131
423,1,26235
3,32,26411
8273,256,26543
360,1,26606
1167,32,26763
5649,1,26942
38,1,26973
2611,6,27159
6178,1,27180
13,32,27221
6561,1,27272
11,5,27301
13037,8,27619
10708,4,27736
4,4,27979
9453,64,28359
7846,2,28367
17137,16,28379
